model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Basic,(Intercept),6.552039067552045e-4,0.3091663905588298,-23.710740515816838,2.793941309902886e-124,3.5364957108404755e-4,0.001188852116142734
Basic,age,1.0645194330040253,0.003183983251999824,19.63686858852072,7.487515991384542e-86,1.057991889640844,1.0712851273092343
Basic,sexFemale,0.6489122389629949,0.0905914259122749,-4.773716630302815,1.808568107049716e-6,0.5430267349068146,0.774640397932956
Basic,bmi,1.0789562318168018,0.0060524310302474136,12.555966589126168,3.686516685449929e-36,1.0663004968698966,1.0919141945937758
Clinical,(Intercept),0.0010146581218832779,0.315218646835957,-21.868006915672623,5.239679140621476e-106,5.413840678110437e-4,0.0018638455087695443
Clinical,age,1.0540247430182001,0.003388499370300687,15.527795476112422,2.24982070490296e-54,1.047125837426476,1.0611339492674614
Clinical,sexFemale,0.6494465362895995,0.09444736991708298,-4.570108853428403,4.8747094942589075e-6,0.5393791027143272,0.7811669121098231
Clinical,bmi,1.0672042628795282,0.006226528118778448,10.446012510152482,1.5281589561959445e-25,1.054304988628018,1.0803737528676192
Clinical,hypertensionYes,2.4120531979071944,0.09853994647486239,8.93524266692604,4.062855270342772e-19,1.9900653645634405,2.9288451556772923
Clinical,smokingEver smoker,1.0229186416188476,0.09371810086360101,0.2417884526972669,0.8089440868949513,0.8510075155206864,1.2289590405945539
Extended,(Intercept),3.5679443038529296e-4,0.3921326691622227,-20.24404338523221,4.008911839451632e-91,1.6338934929785356e-4,7.603562599976363e-4
Extended,age,1.0586180198686312,0.0036437100585281915,15.63359919979705,4.2982326806682585e-55,1.0511820372048784,1.06630973427126
Extended,sexFemale,0.6437119229913356,0.0963263371112188,-4.573037766361479,4.807034524015977e-6,0.5326329775067676,0.7770875917636144
Extended,bmi,1.0752304350153066,0.00658605640246036,11.013418703015715,3.2926744269669836e-28,1.0615156697410804,1.0892958848864744
Extended,race_ethnicityMexican American,2.0018093489804367,0.16072407220546187,4.318279375049644,1.572503042460871e-5,1.4581752968944572,2.7392828933698854
Extended,race_ethnicityOther Hispanic,1.3079967066120086,0.18045862704533133,1.4878575745988751,0.13678845818929497,0.9130903882697458,1.8540675590760414
Extended,race_ethnicityNon-Hispanic Black,1.1478179872246312,0.12424395547213549,1.1096132370362288,0.2671657247355621,0.8988784608612421,1.4632624208257665
Extended,race_ethnicityNon-Hispanic Asian,2.5241741828076845,0.16142825480464662,5.7357614008740585,9.707524298061667e-9,1.8366738787211279,3.4599561926286815
Extended,race_ethnicityOther Race - Including Multi-Racial,1.4752275921697569,0.2191461255630073,1.7742147011087128,0.07602764340965765,0.9499952636325277,2.2470770601314443
Extended,educationLess than 9th grade,1.791112889938798,0.1985465310616339,2.9355191942530134,0.0033299000949986468,1.212431460012201,2.6417361920531106
Extended,education9-11th grade (Includes 12th grade with no diploma),1.4636377688759752,0.18062026333707937,2.108982415678851,0.03494609948214109,1.0259787840224626,2.0837433634189737
Extended,educationHigh school graduate/GED or equivalent,1.319403017258106,0.15055494866300217,1.841051238146396,0.06561405043179702,0.9829325757396294,1.774094098078681
Extended,educationSome college or AA degree,1.2840388628085893,0.13958617599250212,1.7910833219476225,0.07327992510587024,0.9779345498628443,1.6907731659868919
Extended,income_ratio,0.9877640308641743,0.033196301671198206,-0.3708679671485075,0.7107358749103942,0.9254007958084444,1.054055114637973
Extended,hypertensionYes,2.513074590012747,0.1009927528201045,9.124485807638909,7.207759637362229e-20,2.0636763151259236,3.0664650173064514
Extended,smokingEver smoker,1.0853123557816524,0.09869428674193273,0.8295093239637364,0.4068162629602893,0.8942615259990359,1.3168492112757513
